projects_completed,tenure_months,portfolio_strength,on_time_delivery_percent,avg_client_rating,rating_trajectory,dispute_rate,project_category,project_success_score,project_price_inr
28,44,0.73,0.9,4.44,-0.02,0.086,Mobile Development,54.59,275373
16,6,0.76,0.85,4.29,-0.16,0.079,Graphic Design,42.56,227521
6,8,0.78,0.95,4.58,0.17,0.07,UI/UX Design,62.72,229219
16,18,0.87,0.78,3.92,0.24,0.122,Web Development,40.98,226934
31,33,0.92,0.97,4.67,-0.11,0.04,Graphic Design,71.44,386203
42,54,0.82,0.79,4.02,0.14,0.1,UI/UX Design,39.99,343572
23,30,0.78,0.81,3.7,0.01,0.149,Graphic Design,32.44,232158
29,38,0.69,0.73,3.6,0.16,0.128,Web Development,29.82,173881
46,43,0.57,0.71,3.87,0.02,0.115,Web Development,22.58,259213
50,58,0.98,1.0,5.0,-0.17,0.019,Mobile Development,85.98,455087
16,11,0.73,0.76,3.78,0.11,0.113,Graphic Design,29.38,160639
30,49,0.78,0.8,4.04,0.15,0.093,Web Development,40.5,279218
45,50,0.88,0.87,4.32,0.16,0.078,Graphic Design,62.2,377901
35,37,0.53,0.78,3.95,0.3,0.126,Mobile Development,40.57,230759
36,50,0.93,0.98,4.58,-0.07,0.083,Web Development,70.51,390867
45,52,0.9,0.99,4.64,0.03,0.062,Web Development,74.54,390675
29,26,0.89,0.81,3.89,0.06,0.125,UI/UX Design,42.22,286777
23,21,0.51,0.7,3.5,0.19,0.15,Mobile Development,12.15,136409
45,59,0.76,0.76,4.02,0.13,0.115,Graphic Design,43.94,324769
24,26,0.53,0.82,3.85,0.1,0.136,Graphic Design,33.64,186758
20,16,0.78,0.79,4.18,0.0,0.111,UI/UX Design,34.31,211878
36,42,0.86,0.85,4.2,0.01,0.099,Mobile Development,57.7,326014
42,41,0.56,0.91,4.23,-0.06,0.093,Graphic Design,46.7,269676
36,40,0.85,0.84,4.0,0.14,0.105,Graphic Design,48.06,312786
26,24,0.72,0.76,3.81,0.25,0.124,UI/UX Design,33.65,229366
27,25,0.91,0.82,3.84,0.23,0.117,Web Development,49.59,291171
16,23,0.77,0.92,4.42,0.11,0.073,Graphic Design,65.12,240359
44,52,0.67,0.82,3.85,0.17,0.138,Mobile Development,39.54,273267
37,46,0.67,0.77,3.88,0.22,0.138,Graphic Design,37.57,258034
50,54,0.95,0.85,3.97,0.22,0.107,Graphic Design,62.39,392733
21,19,0.73,0.83,3.85,0.1,0.11,Mobile Development,36.94,210747
19,20,0.7,0.78,4.08,0.03,0.086,Mobile Development,35.93,225939
25,36,0.52,0.98,4.65,-0.01,0.072,Web Development,63.66,233769
5,6,0.68,0.92,4.41,-0.18,0.092,Graphic Design,47.55,165452
50,58,0.92,0.93,4.55,0.07,0.064,Web Development,73.45,434483
45,59,0.88,0.97,4.66,0.02,0.059,Mobile Development,75.54,402054
50,59,0.61,0.89,4.18,0.11,0.105,UI/UX Design,53.84,348717
5,8,0.71,0.93,4.42,0.07,0.072,UI/UX Design,50.65,184334
28,21,0.6,0.81,4.08,0.21,0.092,Web Development,40.81,212229
29,28,0.98,0.87,4.1,0.16,0.086,Graphic Design,59.59,322572
17,16,0.8,0.72,3.58,0.09,0.133,Web Development,23.45,199703
26,17,0.88,0.8,4.17,0.3,0.102,Graphic Design,52.42,311896
20,15,0.86,0.82,3.98,0.25,0.105,UI/UX Design,46.03,253152
30,37,0.94,0.91,4.58,0.02,0.078,UI/UX Design,67.04,360946
21,21,0.97,0.86,4.05,0.24,0.09,Web Development,54.66,285804
5,13,0.52,0.86,4.22,-0.18,0.089,Graphic Design,33.56,87343
42,43,0.99,0.94,4.72,0.06,0.043,Graphic Design,77.71,452925
16,17,0.94,0.73,3.55,0.29,0.15,Graphic Design,36.11,239909
16,29,0.69,0.77,4.1,0.26,0.114,Graphic Design,38.9,188040
23,33,0.92,0.77,3.79,0.18,0.146,UI/UX Design,34.31,265836
50,58,0.87,0.77,3.62,0.21,0.125,UI/UX Design,39.09,353449
22,13,0.9,0.87,4.37,-0.17,0.092,UI/UX Design,53.51,294270
29,33,0.61,0.91,4.64,-0.11,0.044,Web Development,53.49,276187
30,41,0.82,0.79,3.7,0.1,0.12,UI/UX Design,30.23,266166
21,31,0.51,0.92,4.54,-0.09,0.049,Mobile Development,53.46,217384
21,13,0.92,0.99,4.63,0.05,0.058,Web Development,77.69,340034
48,55,0.98,0.83,3.9,0.09,0.103,Mobile Development,46.11,364315
28,33,0.83,0.91,4.29,0.06,0.081,Graphic Design,64.57,304727
26,33,0.76,0.74,3.69,0.01,0.126,Mobile Development,24.38,209747
39,42,0.86,0.93,4.71,-0.06,0.072,Graphic Design,64.65,385460
42,46,0.66,0.74,3.67,0.05,0.143,UI/UX Design,25.55,267272
31,41,0.81,0.91,4.48,0.15,0.068,Mobile Development,70.07,304747
23,32,0.86,0.84,4.01,0.18,0.124,Web Development,41.33,277582
43,59,0.57,0.96,4.61,-0.14,0.044,Graphic Design,63.26,313046
19,22,0.57,0.82,3.9,0.16,0.112,Web Development,39.39,179590
12,14,0.86,0.72,3.5,0.19,0.15,Web Development,23.29,171941
41,38,0.72,0.84,4.03,0.28,0.089,Web Development,52.21,332491
45,58,0.94,0.96,4.79,0.04,0.033,UI/UX Design,83.92,416366
17,25,0.66,0.88,3.93,0.04,0.132,Web Development,40.92,149411
12,18,0.52,0.97,4.82,-0.15,0.031,Mobile Development,56.82,220949
28,33,0.82,0.96,4.68,0.01,0.073,UI/UX Design,72.09,353611
35,53,0.84,0.87,4.2,0.12,0.078,Graphic Design,60.27,304065
30,34,0.78,0.76,3.7,0.17,0.149,Graphic Design,27.27,230501
11,18,0.84,0.71,3.62,0.27,0.139,Web Development,28.91,171901
49,51,0.76,1.0,4.99,-0.02,0.034,Graphic Design,78.81,434540
35,40,0.85,0.99,4.8,-0.05,0.037,Graphic Design,77.0,396330
23,11,0.52,0.76,3.73,0.07,0.123,Mobile Development,20.2,146933
21,23,0.68,0.88,4.71,0.15,0.053,Mobile Development,58.77,291609
31,56,0.61,0.9,4.4,0.11,0.072,Web Development,59.64,273149
19,10,0.55,0.85,3.92,0.09,0.1,Web Development,38.58,160472
46,52,0.62,0.94,4.59,-0.13,0.057,Mobile Development,65.14,332086
30,30,0.6,0.71,3.5,0.01,0.14,Mobile Development,12.26,194808
5,7,0.99,0.99,4.71,-0.19,0.067,Web Development,71.53,272766
16,15,0.64,0.81,4.16,0.22,0.111,Mobile Development,44.61,178104
32,35,0.62,0.83,4.2,0.26,0.08,Web Development,49.04,264462
45,55,0.92,0.85,3.89,0.1,0.128,UI/UX Design,49.01,356771
33,50,0.71,0.86,3.91,0.17,0.115,UI/UX Design,45.08,272420
26,10,0.71,0.88,4.28,0.02,0.102,Graphic Design,46.25,253356
50,60,0.72,0.91,4.56,0.06,0.056,Graphic Design,65.66,410239
35,38,0.71,0.85,3.83,0.14,0.107,Web Development,43.24,248191
50,59,0.66,0.9,4.5,-0.16,0.082,Web Development,50.77,362412
12,6,0.64,0.79,4.26,0.17,0.104,Web Development,40.74,203979
18,23,0.94,1.0,4.98,-0.13,0.045,Graphic Design,75.78,350347
38,37,0.58,0.7,3.5,0.23,0.143,Mobile Development,23.09,205838
48,52,0.59,0.85,4.24,-0.01,0.072,Mobile Development,51.0,297129
42,54,0.79,0.73,3.66,0.06,0.122,Graphic Design,24.96,272213
20,16,0.67,0.83,4.31,-0.14,0.102,UI/UX Design,40.49,261776
23,26,0.71,0.77,3.99,0.0,0.106,Web Development,34.92,217422
29,31,0.9,1.0,4.65,0.2,0.073,Web Development,83.1,376587
30,30,0.95,0.72,3.69,0.07,0.15,Graphic Design,32.57,287729
32,27,0.9,0.83,3.95,0.19,0.11,Web Development,43.38,295981
25,32,0.62,0.92,4.61,-0.02,0.072,Mobile Development,53.72,256030
47,54,0.99,0.78,3.81,0.04,0.112,Web Development,43.5,358368
28,18,0.68,0.94,4.52,0.01,0.063,Mobile Development,58.79,273265
32,38,0.58,0.94,4.57,-0.19,0.072,Graphic Design,52.32,298977
35,39,0.75,0.91,4.34,-0.14,0.071,UI/UX Design,54.32,341718
49,46,0.86,0.77,3.84,0.12,0.116,Web Development,44.88,366807
38,40,0.54,0.76,3.83,0.02,0.126,Graphic Design,30.9,233572
5,6,0.82,0.76,3.7,0.01,0.141,Web Development,27.54,148039
20,26,0.93,0.77,3.85,0.06,0.116,Mobile Development,39.31,243631
48,53,0.63,0.7,3.5,0.02,0.145,Web Development,20.51,260825
50,60,0.85,0.97,4.47,-0.05,0.057,Graphic Design,71.93,402860
14,11,0.7,0.85,4.16,0.12,0.117,Graphic Design,43.8,201268
40,33,0.71,0.79,4.06,0.29,0.11,Mobile Development,45.0,302759
18,22,0.64,0.78,3.98,0.09,0.113,Web Development,27.59,170494
12,10,0.81,0.87,4.37,-0.06,0.069,UI/UX Design,48.59,251015
22,36,0.68,0.79,4.05,0.25,0.106,Graphic Design,39.53,189272
18,10,0.92,0.98,4.72,0.16,0.05,Web Development,79.75,337217
33,43,0.98,0.79,3.79,0.21,0.117,Mobile Development,48.94,317940
16,8,0.97,0.99,4.7,0.11,0.052,Graphic Design,74.3,313561
50,58,0.58,0.88,4.27,-0.13,0.076,Web Development,48.81,310778
37,28,0.51,0.96,4.54,-0.2,0.075,Mobile Development,53.08,271518
39,42,0.72,0.7,3.6,0.13,0.15,Web Development,23.06,263595
46,58,0.86,0.73,3.53,0.16,0.127,Mobile Development,25.4,316813
38,42,0.99,0.87,3.98,0.17,0.114,Web Development,48.51,369069
12,15,0.89,0.99,4.91,-0.11,0.047,UI/UX Design,72.9,300234
17,15,0.79,0.92,4.54,0.18,0.083,Web Development,65.99,268401
21,24,0.51,0.86,3.95,0.15,0.109,Mobile Development,40.53,166123
21,22,0.91,0.73,3.51,0.04,0.15,UI/UX Design,22.19,242913
20,26,0.59,0.79,3.88,0.12,0.133,UI/UX Design,33.35,151345
20,19,0.53,0.78,3.85,0.05,0.123,Graphic Design,25.96,114664
19,14,0.93,0.88,4.6,0.04,0.053,Graphic Design,65.34,311996
34,51,0.78,0.78,3.71,0.0,0.14,Graphic Design,33.02,250247
6,6,0.56,0.76,3.61,0.28,0.131,Mobile Development,25.38,92988
47,56,0.69,0.88,4.47,0.13,0.066,Mobile Development,59.73,343806
30,50,0.54,0.96,4.61,-0.08,0.06,Web Development,57.45,284896
27,18,0.82,0.9,4.56,-0.1,0.065,UI/UX Design,56.66,323084
8,9,0.64,0.89,4.28,-0.16,0.075,Mobile Development,38.5,168705
5,6,0.93,1.0,4.98,-0.13,0.039,Web Development,72.97,290912
44,54,0.68,0.74,3.63,0.03,0.15,Web Development,23.72,244663
39,45,0.75,0.71,3.52,0.02,0.138,Mobile Development,28.66,246093
28,37,0.53,0.9,4.22,-0.02,0.095,UI/UX Design,50.34,217729
39,39,0.64,0.82,4.28,0.08,0.086,Mobile Development,48.71,297403
31,33,0.84,0.84,3.98,0.2,0.104,Web Development,48.11,276746
27,36,0.87,0.78,3.65,0.05,0.135,Mobile Development,33.35,276620
12,13,0.62,0.84,4.35,-0.18,0.092,Graphic Design,41.76,209588
30,44,0.75,0.83,4.17,0.13,0.093,Web Development,47.76,296159
21,31,0.91,0.82,4.26,0.16,0.09,Mobile Development,48.13,297222
36,39,0.69,0.83,3.94,0.19,0.114,Mobile Development,51.9,250273
45,59,0.57,0.8,4.01,0.19,0.111,UI/UX Design,41.19,266235
50,59,0.72,0.98,4.92,-0.17,0.028,UI/UX Design,81.86,417918
11,8,0.8,1.0,4.62,0.18,0.06,Graphic Design,73.22,270181
39,55,0.5,0.93,4.53,-0.2,0.053,Web Development,53.51,271082
12,17,0.67,0.99,4.69,0.12,0.065,Graphic Design,71.11,240295
14,6,0.8,0.79,3.81,0.28,0.11,Graphic Design,38.86,180496
48,59,0.98,0.98,4.57,-0.1,0.076,Graphic Design,76.11,445395
46,49,0.7,0.82,4.07,0.19,0.117,UI/UX Design,51.16,319126
10,10,0.58,0.91,4.36,-0.12,0.062,Mobile Development,50.7,155732
28,35,0.77,0.76,3.63,0.01,0.15,Graphic Design,29.5,236511
36,35,0.64,0.93,4.72,0.15,0.058,UI/UX Design,67.6,324936
17,22,0.61,0.71,3.55,0.2,0.13,Mobile Development,17.55,129824
47,53,0.8,0.79,3.64,0.09,0.15,Mobile Development,35.82,302636
42,52,0.96,0.97,4.56,-0.1,0.07,Web Development,73.7,403523
30,28,0.92,0.94,4.32,0.16,0.08,UI/UX Design,67.23,352802
29,20,0.59,0.83,3.99,0.15,0.126,Graphic Design,39.8,192051
34,42,0.88,0.92,4.49,-0.16,0.053,Web Development,65.58,366056
21,26,0.61,0.74,3.78,0.15,0.137,Mobile Development,23.57,145263
22,19,0.65,0.89,4.45,0.08,0.06,Graphic Design,56.61,254586
5,7,0.96,0.72,3.51,0.14,0.15,Graphic Design,21.98,181922
25,16,0.96,0.97,4.62,0.13,0.044,Mobile Development,76.06,345763
50,56,0.58,0.84,4.17,0.04,0.104,Web Development,48.91,326477
33,44,0.53,0.96,4.76,-0.0,0.048,Web Development,68.51,290686
29,43,0.65,0.83,4.06,0.14,0.086,Web Development,39.93,230456
28,39,0.79,0.83,4.18,0.14,0.079,Mobile Development,55.79,294793
31,43,0.94,0.85,4.08,0.29,0.112,UI/UX Design,59.29,323717
50,55,0.56,0.79,3.56,0.17,0.141,Mobile Development,24.34,236658
41,39,0.71,0.75,3.83,0.04,0.13,Mobile Development,27.81,299639
26,23,0.64,0.94,4.63,-0.07,0.055,Graphic Design,62.55,251035
30,35,0.51,0.79,3.89,0.17,0.114,Mobile Development,34.53,192067
21,20,0.89,0.87,4.28,-0.14,0.102,Mobile Development,51.77,306638
24,32,0.91,0.72,3.77,0.11,0.143,UI/UX Design,22.84,254057
50,56,0.61,0.7,3.52,0.29,0.15,Mobile Development,25.86,249661
36,39,0.58,0.86,3.77,0.23,0.142,Graphic Design,39.33,218700
50,57,0.57,0.95,4.26,0.18,0.074,Web Development,62.7,293766
33,43,0.73,0.85,4.33,-0.01,0.066,Graphic Design,48.6,324108
32,38,0.62,0.74,3.75,0.08,0.112,UI/UX Design,19.9,207501
30,29,0.76,0.74,3.82,0.25,0.143,Graphic Design,23.98,243786
27,20,0.69,0.96,4.87,-0.14,0.041,Web Development,69.04,327009
28,35,0.61,0.9,4.56,0.14,0.05,Web Development,56.91,282621
50,60,0.88,1.0,4.59,-0.19,0.065,Mobile Development,71.79,431548
36,47,0.58,0.71,3.5,0.14,0.15,Graphic Design,19.35,175776
50,56,0.9,0.99,4.61,-0.06,0.045,Graphic Design,78.07,443282
19,22,0.78,0.96,4.64,-0.02,0.053,Graphic Design,65.55,290563
15,10,0.92,0.98,4.53,0.12,0.055,UI/UX Design,77.43,296375
31,34,0.5,0.7,3.51,0.03,0.15,Mobile Development,16.83,164350
24,9,0.87,0.94,4.26,-0.13,0.082,UI/UX Design,62.31,300852
17,15,0.53,0.84,4.06,0.23,0.112,UI/UX Design,36.38,129512
18,22,0.98,0.89,4.56,0.02,0.082,Web Development,66.94,310909
19,15,0.85,0.85,4.05,0.04,0.12,UI/UX Design,41.92,252455
24,22,0.66,0.91,4.32,-0.0,0.08,Web Development,55.11,240841
22,25,0.66,0.99,4.78,-0.04,0.04,Graphic Design,66.47,275831
21,29,0.93,0.93,4.53,0.11,0.08,Mobile Development,68.19,319517
9,10,0.95,0.92,4.52,0.1,0.057,Web Development,67.11,275959
38,39,0.95,0.92,4.32,-0.01,0.093,Web Development,63.95,365257
5,11,0.9,0.92,4.38,-0.09,0.093,UI/UX Design,57.32,232612
47,58,0.91,0.82,4.02,0.08,0.122,Graphic Design,50.87,380888
15,7,0.79,0.8,4.08,0.21,0.084,UI/UX Design,41.73,200315
18,18,0.51,0.91,4.31,0.04,0.085,Web Development,45.76,166902
50,48,0.54,0.7,3.5,0.24,0.144,Mobile Development,20.69,236137
32,48,0.82,0.94,4.23,0.15,0.111,Graphic Design,61.77,310542
39,53,0.7,0.94,4.47,-0.01,0.074,Graphic Design,62.74,331776
5,16,0.78,0.86,4.22,0.09,0.089,Web Development,44.52,221736
50,56,0.62,0.96,4.76,-0.15,0.039,Mobile Development,65.22,367097
39,52,0.82,0.85,4.03,0.16,0.121,Mobile Development,52.6,337958
16,28,0.62,0.74,3.7,0.14,0.127,UI/UX Design,26.03,123367
46,60,0.73,0.81,4.0,0.15,0.123,Mobile Development,43.31,367988
13,21,0.74,0.97,4.4,0.13,0.093,Web Development,62.75,236914
28,36,0.59,0.98,4.53,-0.1,0.05,UI/UX Design,60.53,233711
17,16,0.94,0.85,4.21,0.07,0.094,Graphic Design,57.62,271310
50,59,0.76,0.75,3.73,0.1,0.128,UI/UX Design,39.37,313977
19,21,0.93,0.8,3.97,0.01,0.108,UI/UX Design,39.4,241569
14,13,0.63,0.85,4.03,0.08,0.103,Mobile Development,38.57,174961
8,9,0.59,0.86,3.96,0.14,0.115,Web Development,36.01,125106
31,45,0.51,0.86,4.29,-0.02,0.072,Graphic Design,41.95,233157
5,9,0.55,0.93,4.52,0.15,0.083,Web Development,50.94,155176
25,30,0.57,0.9,4.06,0.25,0.108,UI/UX Design,51.43,184946
11,8,0.54,0.76,3.73,0.27,0.125,Mobile Development,18.06,135718
30,37,0.95,0.84,4.37,-0.12,0.07,Web Development,53.42,332450
5,8,0.96,0.97,4.77,-0.02,0.053,Graphic Design,74.03,272215
30,32,0.97,0.91,4.28,0.05,0.099,Mobile Development,67.26,366749
38,34,0.98,0.77,3.84,0.05,0.12,Graphic Design,45.37,337534
32,37,0.75,0.8,3.89,0.09,0.138,Graphic Design,32.76,241529
43,55,0.77,0.94,4.78,0.03,0.049,UI/UX Design,74.34,340255
46,56,0.57,0.73,3.5,0.16,0.15,Web Development,29.03,238731
17,24,0.57,0.89,4.51,-0.15,0.087,Web Development,42.54,188468
18,26,0.89,0.88,4.11,0.3,0.105,Graphic Design,55.35,246803
14,10,0.93,0.76,3.82,0.16,0.128,Mobile Development,36.19,236211
27,23,0.89,0.92,4.55,-0.07,0.05,Mobile Development,66.51,318085
29,33,0.92,0.76,3.93,0.21,0.133,UI/UX Design,45.18,274977
30,47,0.64,0.81,4.08,0.03,0.115,UI/UX Design,37.24,268893
27,27,0.73,0.79,3.67,0.13,0.137,Web Development,35.88,212454
34,26,0.73,0.9,4.39,0.0,0.071,Graphic Design,56.35,309186
12,11,1.0,0.96,4.7,-0.03,0.067,Web Development,66.74,311001
8,6,0.97,0.77,3.98,0.26,0.103,UI/UX Design,44.65,244990
8,10,0.8,0.95,4.41,-0.02,0.079,Web Development,57.54,249445
41,46,0.57,0.7,3.5,0.03,0.138,Graphic Design,16.12,209429
14,17,0.63,0.85,3.92,0.04,0.129,Web Development,36.59,162398
33,31,0.68,0.85,4.14,0.1,0.109,Graphic Design,46.28,264327
39,51,0.94,0.91,4.43,0.17,0.067,Mobile Development,73.43,370701
35,39,0.59,0.76,3.79,0.07,0.111,Web Development,33.74,214286
45,54,0.61,0.7,3.5,0.19,0.137,Mobile Development,24.06,245550
27,19,0.67,0.83,4.04,0.13,0.111,UI/UX Design,44.91,243269
30,31,0.96,0.74,3.67,0.21,0.122,UI/UX Design,30.79,300955
49,50,0.75,0.97,4.63,0.15,0.053,Graphic Design,78.16,378046
29,32,0.82,0.76,3.5,0.08,0.15,UI/UX Design,28.06,215787
14,14,0.69,0.82,3.88,0.17,0.102,Mobile Development,36.52,175350
28,31,0.59,0.81,4.08,0.03,0.107,Graphic Design,31.72,222112
40,52,0.61,0.85,4.09,0.3,0.099,Graphic Design,52.48,264295
27,27,0.9,0.95,4.51,0.06,0.054,Graphic Design,67.56,305117
40,52,0.95,0.86,4.39,0.01,0.079,UI/UX Design,56.95,389979
31,35,0.75,0.71,3.69,0.19,0.135,Graphic Design,32.05,251590
45,48,0.68,0.92,4.36,-0.19,0.076,Graphic Design,53.73,345238
50,53,0.9,0.74,3.9,0.15,0.1,Mobile Development,40.25,391459
22,22,0.84,0.9,4.34,-0.19,0.071,Graphic Design,52.65,297427
32,31,0.52,0.92,4.56,-0.02,0.061,Web Development,55.08,245741
39,41,0.68,0.78,3.83,0.15,0.115,Graphic Design,39.2,271078
7,6,0.84,0.84,4.03,0.24,0.094,Graphic Design,48.0,204671
25,13,0.79,0.71,3.65,0.07,0.137,Mobile Development,26.09,238980
42,54,0.99,0.97,4.51,-0.0,0.065,Web Development,69.94,445417
35,40,0.93,0.93,4.47,0.08,0.079,UI/UX Design,71.6,358140
50,57,0.53,0.75,3.7,0.14,0.136,Web Development,31.65,244756
27,20,0.86,0.83,4.0,0.26,0.097,Graphic Design,49.02,275718
44,52,0.67,0.9,4.16,0.04,0.104,Web Development,55.29,319020
30,27,0.84,0.82,4.08,0.23,0.102,UI/UX Design,45.55,274158
18,19,0.81,0.75,3.87,0.04,0.105,Web Development,35.06,201052
25,31,0.75,0.86,4.2,0.05,0.075,Web Development,46.04,312761
23,33,0.93,0.93,4.4,0.12,0.083,Graphic Design,69.41,311382
29,28,0.85,0.81,4.29,0.16,0.092,Mobile Development,49.42,309279
23,19,0.94,0.76,3.71,0.19,0.146,Graphic Design,35.16,276843
23,29,0.64,0.94,4.49,0.2,0.081,Graphic Design,59.3,232840
11,7,0.67,0.77,3.5,0.09,0.15,Web Development,22.75,99361
50,50,0.81,0.86,4.01,0.18,0.101,UI/UX Design,55.33,371403
33,31,0.98,0.93,4.67,0.07,0.053,Mobile Development,70.58,410094
14,19,0.69,0.79,4.38,-0.14,0.062,Graphic Design,37.31,204878
50,56,0.52,0.87,4.43,0.13,0.072,Web Development,55.85,321144
9,12,0.72,0.84,3.93,0.04,0.104,Graphic Design,32.96,186946
5,8,0.77,0.87,4.32,0.02,0.096,UI/UX Design,47.83,196000
43,52,0.9,0.89,4.27,0.05,0.094,Graphic Design,63.25,372511
33,28,0.86,0.96,4.57,-0.15,0.076,Mobile Development,60.36,330330
50,51,0.98,0.92,4.26,-0.02,0.093,Mobile Development,62.77,457385
42,48,0.89,0.79,3.98,0.02,0.115,Web Development,45.16,331413
41,52,0.65,0.71,3.5,0.26,0.139,Graphic Design,25.94,245810
44,50,0.82,0.71,3.5,0.12,0.15,Mobile Development,26.23,279122
20,23,0.84,0.98,4.65,-0.17,0.044,Graphic Design,70.36,292199
34,43,1.0,1.0,4.42,-0.04,0.068,Mobile Development,72.68,397478
40,40,0.57,0.71,3.5,0.26,0.137,UI/UX Design,24.1,209211
44,56,0.6,0.83,4.16,0.13,0.115,UI/UX Design,43.23,280722
25,20,0.58,0.73,3.79,0.06,0.143,Mobile Development,28.25,173782
24,30,0.79,0.99,4.85,0.05,0.057,Mobile Development,76.98,347626
50,60,0.57,0.76,3.71,0.09,0.15,Graphic Design,23.4,267961
28,42,0.83,0.86,4.1,0.09,0.106,Graphic Design,55.77,295990
24,33,0.9,0.76,3.64,0.03,0.15,Mobile Development,25.22,249007
15,15,0.72,0.8,4.14,0.06,0.09,Mobile Development,41.66,194069
28,44,0.78,0.78,3.67,0.24,0.132,Graphic Design,33.36,250543
8,22,0.96,0.86,4.23,0.18,0.091,Mobile Development,58.98,265272
28,44,0.78,0.83,4.15,0.11,0.082,UI/UX Design,47.52,307660
23,27,0.6,0.78,3.57,0.28,0.15,Graphic Design,24.01,153771
26,31,0.67,0.72,3.5,0.24,0.135,UI/UX Design,25.34,192615
43,49,0.76,0.85,4.22,0.07,0.104,Graphic Design,48.16,342208
26,30,0.58,0.94,4.31,0.02,0.102,Mobile Development,49.31,227402
22,22,0.81,0.92,4.52,-0.03,0.071,Web Development,57.58,313666
16,18,1.0,0.94,4.41,0.19,0.064,Graphic Design,69.44,321527
27,25,0.83,0.82,4.05,0.17,0.104,Graphic Design,44.99,276899
30,30,0.69,0.91,4.45,-0.06,0.059,Web Development,55.64,290049
10,9,0.67,0.83,4.22,-0.04,0.077,Web Development,36.18,161013
18,15,0.97,0.77,3.86,0.26,0.132,UI/UX Design,35.9,265808
10,8,0.94,0.84,4.16,0.0,0.093,Mobile Development,49.14,256807
31,46,0.74,0.74,3.93,0.13,0.096,Web Development,35.75,250788
47,50,0.68,0.73,3.5,0.27,0.132,Graphic Design,29.51,282630
17,23,0.86,0.72,3.58,0.2,0.15,Web Development,26.12,201782
48,52,0.66,0.78,3.96,0.17,0.118,Web Development,43.04,306292
37,41,0.56,0.78,3.5,0.09,0.15,Mobile Development,25.25,188749
43,52,0.66,0.9,4.6,0.16,0.053,Mobile Development,67.36,325481
15,27,0.72,0.86,4.16,0.05,0.09,UI/UX Design,44.92,193655
41,39,0.63,0.95,4.63,0.05,0.064,Mobile Development,69.1,332064
42,52,0.61,0.74,3.59,0.14,0.149,UI/UX Design,27.46,238003
17,13,0.5,0.76,3.8,0.04,0.107,Web Development,16.07,123805
38,45,0.82,0.99,4.79,-0.05,0.063,UI/UX Design,72.01,397180
44,54,0.81,0.84,3.93,0.01,0.127,UI/UX Design,42.26,326891
42,49,0.59,0.92,4.39,0.13,0.064,Mobile Development,61.45,306426
23,24,0.97,0.87,4.31,0.03,0.066,Web Development,62.5,334035
38,47,0.7,0.84,4.31,0.17,0.096,UI/UX Design,53.05,315085
39,46,0.51,0.72,3.53,0.26,0.15,Web Development,23.56,175524
38,42,0.61,0.94,4.35,0.19,0.075,Graphic Design,54.45,316176
15,11,0.85,0.73,3.7,0.26,0.127,Graphic Design,33.03,186812
47,57,0.6,0.78,3.79,0.22,0.127,Graphic Design,34.1,266120
31,31,0.53,0.88,4.4,0.18,0.085,Web Development,57.38,264289
32,39,0.81,0.86,4.07,0.11,0.11,Graphic Design,56.4,291493
50,50,0.76,0.97,4.45,-0.07,0.084,Mobile Development,66.78,368300
20,11,0.88,0.72,3.84,0.1,0.107,Web Development,32.36,241640
40,42,0.89,0.91,4.33,0.07,0.084,Graphic Design,64.94,374030
23,38,0.98,0.87,4.08,0.24,0.103,Graphic Design,57.54,292674
50,58,0.53,0.72,3.5,0.24,0.15,UI/UX Design,26.02,252954
23,27,0.52,0.9,4.58,0.12,0.08,Web Development,53.13,267730
19,26,0.99,0.85,4.48,0.05,0.081,Graphic Design,56.7,333110
11,11,0.82,0.87,4.1,0.18,0.117,Web Development,49.02,235021
8,11,0.86,1.0,4.77,-0.01,0.058,Web Development,71.57,286277
50,60,0.55,0.83,4.09,0.09,0.111,Mobile Development,43.99,269319
50,53,0.53,0.93,4.2,0.24,0.083,Graphic Design,60.11,287133
15,9,0.58,0.91,4.35,0.0,0.087,Mobile Development,52.29,195277
45,35,0.71,0.9,4.63,0.18,0.076,Graphic Design,64.9,365123
9,16,0.56,0.95,4.53,0.0,0.077,Web Development,52.24,157035
28,35,0.72,0.77,4.01,0.25,0.114,Web Development,41.08,257932
27,36,0.78,0.95,4.57,0.05,0.055,Web Development,62.4,328540
32,29,0.5,0.79,3.56,0.16,0.15,Web Development,19.16,160750
48,60,0.56,0.92,4.62,-0.18,0.054,Graphic Design,58.18,321004
16,14,0.69,0.84,4.06,0.27,0.088,UI/UX Design,45.07,184017
50,60,0.53,0.93,4.73,0.12,0.041,Web Development,65.4,330262
5,8,0.57,0.95,4.61,0.15,0.056,Graphic Design,59.04,165540
43,56,0.62,0.87,4.22,0.07,0.112,Web Development,45.37,302572
36,36,0.71,0.85,4.22,-0.03,0.103,UI/UX Design,41.91,301316
36,45,0.86,0.95,4.62,-0.0,0.051,Graphic Design,64.51,336513
27,42,0.57,0.76,3.51,0.24,0.15,Web Development,22.59,124171
31,41,0.87,0.72,3.73,0.23,0.126,Mobile Development,33.14,266102
25,29,0.93,0.84,4.1,0.02,0.106,UI/UX Design,50.14,329917
32,36,0.83,0.86,4.2,0.14,0.105,Mobile Development,54.25,304774
12,11,0.52,0.77,3.85,0.09,0.132,Mobile Development,24.89,134990
